1 はずれ
左1→右1→中2 ×
左1→右5→中2 ×
左1→右9→中2 ×
左1→右13→中2 ×
左1→右18→中2 ×
左4→右1→中2 ×
左4→右5→中2 ×
左4→右9→中2 ×
左4→右13→中2 ×
左4→右18→中2 ×
左7→右3→中2 ×
左7→右7→中2 ×
左7→右11→中2 ×
左7→右20→中2 ×
左8→右1→中2 ×
左8→右5→中2 ×
左8→右9→中2 ×
左8→右13→中2 ×
左8→右18→中2 ×
左9→右1→中1 ×
左9→右5→中1 ×
左9→右9→中1 ×
左9→右18→中1 ×
左11→右1→中2 ×
左11→右5→中2 ×
左11→右9→中2 ×
左11→右13→中2 ×
左11→右18→中2 ×
左14→右3→中2 ×
左14→右7→中2 ×
左14→右11→中2 ×
左14→右20→中2 ×
左15→右1→中2 ×
左15→右5→中2 ×
左15→右9→中2 ×
左15→右13→中2 ×
左15→右18→中2 ×
左16→右1→中1 ×
左16→右5→中1 ×
左16→右9→中1 ×
左16→右18→中1 ×
左18→中2→右1 ×
左18→中6→右1 ×
左18→中10→右1 ×
左18→中14→右1 ×
左18→中18→右1 ×
左18→中19→右1 ×
左18→中1 ×
左20→右1→中1 ×
左20→右5→中1 ×
左20→右9→中1 ×
左20→右18→中1 ×
左21で詰みました
